Grapheme	Graphemes	IPA	Frequency	Sound_Types	CLTS
ṟ̇	ṟ̇	ʀ	2	consonant	voiced uvular trill consonant
oʋ̱̆	oʋ̱̆	ou	1	diphthong	from rounded close-mid back to rounded close back diphthong
a̱̩ͤ͜ó	a̱̩ͤ͜ó	æo	2	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ò̱̩œ̄	ò̱̩œ̄	ɔøː	2	diphthong	from rounded open-mid back to long rounded close-mid front diphthong
a̱͜ō	a̱͜ō	aoː	1	diphthong	from unrounded open front to long rounded close-mid back diphthong
m̄	m̄	mː	9	consonant	long voiced bilabial nasal consonant
õ̩	õ̩	o	1	vowel	rounded close-mid back vowel
a̩ͦ̃	a̩ͦ̃	ɑ	2	vowel	unrounded open back vowel
ă̩ò̱	ă̩ò̱	aɔ	1	diphthong	from unrounded open front to rounded open-mid back diphthong
a̩ò	a̩ò	aɔ	1	diphthong	from unrounded open front to rounded open-mid back diphthong
a̩ͦ̄ò̱	a̩ͦ̄ò̱	ɑːɔ	1	diphthong	from long unrounded open back to rounded open-mid back diphthong
a̩ò̱	a̩ò̱	aɔ	1	diphthong	from unrounded open front to rounded open-mid back diphthong
œ̆̀u	œ̆̀u	œy	3	diphthong	from rounded open-mid front to rounded close front diphthong
ò̱œ̄̀	ò̱œ̄̀	ɔœː	4	diphthong	from rounded open-mid back to long rounded open-mid front diphthong
á̩	á̩	ɑ	1	vowel	unrounded open back vowel
aͤó	aͤó	æo	4	diphthong	from unrounded near-open front to rounded close-mid back diphthong
a̱ͤ	a̱ͤ	æ	2	vowel	unrounded near-open front vowel
l̮à̃	l̮ à̃	l ã	8	unknownsound	
yà̃	y à̃	j ã	6	unknownsound	
ò̱̃	ò̱̃	ɔ̃	2	vowel	nasalized rounded open-mid back vowel
œ̱ó	œ̱ó	øo	2	diphthong	from rounded close-mid front to rounded close-mid back diphthong
a̱ͦ͜è̃	a̱ͦ͜è̃	ɒɛ̃	1	diphthong	from rounded open back to nasalized unrounded open-mid front diphthong
ăoͮ̆	ăoͮ̆	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
ăyă͜ó̱	ă y ă͜ó̱	a j ao	2	unknownsound	
a̱é̃	a̱é̃	aẽ	1	diphthong	from unrounded open front to nasalized unrounded close-mid front diphthong
ãè̃	ãè̃	ãɛ̃	2	diphthong	from nasalized unrounded open front to nasalized unrounded open-mid front diphthong
ăā	ăā	aː	1	vowel	long unrounded open front vowel
a̱ͦ̃é̃	a̱ͦ̃é̃	ɒẽ	1	diphthong	from rounded open back to nasalized unrounded close-mid front diphthong
ẕ	ẕ	z	1	consonant	voiced alveolar sibilant fricative consonant
ië̱	ië̱	iɛ	4	diphthong	from unrounded close front to unrounded open-mid front diphthong
a̱͜è̃	a̱͜è̃	aɛ̃	2	diphthong	from unrounded open front to nasalized unrounded open-mid front diphthong
ã̱ẽ	ã̱ẽ	aẽ	2	diphthong	from unrounded open front to nasalized unrounded close-mid front diphthong
œ̆̀ṓ	œ̆̀ṓ	œoː	1	diphthong	from rounded open-mid front to long rounded close-mid back diphthong
a͜e̱ͥ	a͜e̱ͥ	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
ȯ̱ʋ̃	ȯ̱ʋ̃	ɔũ	1	diphthong	from rounded open-mid back to nasalized rounded close back diphthong
œ̄́ù̱	œ̄́ù̱	øːʏ	1	diphthong	from long rounded close-mid front to rounded near-close near-front diphthong
aͤ̄oͮ	aͤ̄oͮ	æːo	1	diphthong	from long unrounded near-open front to rounded close-mid back diphthong
ṑœ̱̀	ṑœ̱̀	ɔːœ	1	diphthong	from long rounded open-mid back to rounded open-mid front diphthong
uͨœ	uͨœ	yø	1	diphthong	from rounded close front to rounded close-mid front diphthong
u̱̇	u̱̇	ʏ	8	vowel	rounded near-close near-front vowel
ã̱ò̱̃	ã̱ò̱̃	aɔ	1	diphthong	from unrounded open front to rounded open-mid back diphthong
è̱̩	è̱̩	e	2	vowel	unrounded close-mid front vowel
œ̱̀ó	œ̱̀ó	œo	2	diphthong	from rounded open-mid front to rounded close-mid back diphthong
aè̃	aè̃	aɛ̃	1	diphthong	from unrounded open front to nasalized unrounded open-mid front diphthong
ĭ̱	ĭ̱	i	1	vowel	unrounded close front vowel
œ̀͜i	œ̀͜i	œi	1	diphthong	from rounded open-mid front to unrounded close front diphthong
o̩ͮ	o̩ͮ	o	2	vowel	rounded close-mid back vowel
c̵̯	c̵̯	ʃ	2	consonant	voiceless post-alveolar sibilant fricative consonant
ḕa	ḕa	ɛːa	3	diphthong	from long unrounded open-mid front to unrounded open front diphthong
œ̆̀o̱	œ̆̀o̱	œo	1	diphthong	from rounded open-mid front to rounded close-mid back diphthong
œ̱̀ū̀	œ̱̀ū̀	œʏː	1	diphthong	from rounded open-mid front to long rounded near-close near-front diphthong
ȯ̱͜œ̩̄	ȯ̱͜œ̩̄	ɔøː	1	diphthong	from rounded open-mid back to long rounded close-mid front diphthong
œ̩	œ̩	ø	1	vowel	rounded close-mid front vowel
ūò̃	ūò̃	ỹːɔ̃	1	diphthong	from long nasalized rounded close front to nasalized rounded open-mid back diphthong
ă̩ĭ	ă̩ĭ	aɪ	1	diphthong	from unrounded open front to unrounded near-close near-front diphthong
ăeͥ	ăeͥ	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
āĕ	āĕ	aːe	1	diphthong	from long unrounded open front to unrounded close-mid front diphthong
ẓ̱	ẓ̱	ð	3	consonant	voiced dental fricative consonant
ė̱ã	ė̱ã	əã	1	diphthong	from unrounded mid central to nasalized unrounded open front diphthong
aͦ̃͜è̃	aͦ̃͜è̃	ɑɛ̃	4	diphthong	from unrounded open back to nasalized unrounded open-mid front diphthong
aͤ̄è̱̃	aͤ̄è̱̃	æːɛ	2	diphthong	from long unrounded near-open front to unrounded open-mid front diphthong
i͜ė	i͜ė	iə	1	diphthong	from unrounded close front to unrounded mid central diphthong
a̱͜aͤ	a̱͜aͤ	aæ	1	diphthong	from unrounded open front to unrounded near-open front diphthong
āò	āò	aːɔ	3	diphthong	from long unrounded open front to rounded open-mid back diphthong
ò̱͜eͥ̆	ò̱͜eͥ̆	ɔe	1	diphthong	from rounded open-mid back to unrounded close-mid front diphthong
aò̃	aò̃	aɔ̃	1	diphthong	from unrounded open front to nasalized rounded open-mid back diphthong
ãé̱̃	ãé̱̃	ãe	1	diphthong	from nasalized unrounded open front to unrounded close-mid front diphthong
è̱͜ã	è̱͜ã	ɛã	1	diphthong	from unrounded open-mid front to nasalized unrounded open front diphthong
œ̱̀͜ò̃	œ̱̀͜ò̃	œɔ̃	1	diphthong	from rounded open-mid front to nasalized rounded open-mid back diphthong
ăʋ̆	ăʋ̆	au	2	diphthong	from unrounded open front to rounded close back diphthong
āo̱͜è	āo̱͜ è	aːo ɛ	1	unknownsound	
è͜i̱	è͜i̱	ɛi	1	diphthong	from unrounded open-mid front to unrounded close front diphthong
ăe	ăe	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
è̱ē	è̱ē	ɛeː	1	diphthong	from unrounded open-mid front to long unrounded close-mid front diphthong
ŏ̀ĭ	ŏ̀ĭ	ɔɪ	3	diphthong	from rounded open-mid back to unrounded near-close near-front diphthong
aó̱̃	aó̱̃	ao	1	diphthong	from unrounded open front to rounded close-mid back diphthong
ā̩o̱	ā̩o̱	aːo	1	diphthong	from long unrounded open front to rounded close-mid back diphthong
aõ̱	aõ̱	ao	1	diphthong	from unrounded open front to rounded close-mid back diphthong
āò̃	āò̃	aːɔ̃	2	diphthong	from long unrounded open front to nasalized rounded open-mid back diphthong
ȯ̱̃	ȯ̱̃	ɔ	1	vowel	rounded open-mid back vowel
aͦò̱	aͦò̱	ɒɔ	1	diphthong	from rounded open back to rounded open-mid back diphthong
ʋ̀̃ė̱̃	ʋ̀̃ė̱̃	ʊ̃ə	3	diphthong	from nasalized rounded near-close near-back to unrounded mid central diphthong
à̄̃	à̄̃	ãː	1	vowel	long nasalized unrounded open front vowel
œ́ù̱	œ́ù̱	øʏ	1	diphthong	from rounded close-mid front to rounded near-close near-front diphthong
œ͜ó	œ͜ó	øo	1	diphthong	from rounded close-mid front to rounded close-mid back diphthong
œ̀͜ó	œ̀͜ó	œo	3	diphthong	from rounded open-mid front to rounded close-mid back diphthong
ė̱ṑ	ė̱ṑ	əɔː	1	diphthong	from unrounded mid central to long rounded open-mid back diphthong
œͦ	œͦ	ɞ	2	vowel	rounded open-mid central vowel
aͦ̄ʋ̱	aͦ̄ʋ̱	ɒːu	1	diphthong	from long rounded open back to rounded close back diphthong
ăò̱	ăò̱	aɔ	2	diphthong	from unrounded open front to rounded open-mid back diphthong
a̩ͦè̱	a̩ͦè̱	ɑɛ	1	diphthong	from unrounded open back to unrounded open-mid front diphthong
ie	ie	ie	1	diphthong	from unrounded close front to unrounded close-mid front diphthong
ĕī	ĕī	eiː	1	diphthong	from unrounded close-mid front to long unrounded close front diphthong
ĕ̀ḗ	ĕ̀ḗ	ɛeː	2	diphthong	from unrounded open-mid front to long unrounded close-mid front diphthong
ĕ̀ē	ĕ̀ē	ɛeː	1	diphthong	from unrounded open-mid front to long unrounded close-mid front diphthong
ĕḗ	ĕḗ	eː	1	vowel	long unrounded close-mid front vowel
a̩͜é	a̩͜é	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
oͮ̄ė̱	oͮ̄ė̱	oːə	1	diphthong	from long rounded close-mid back to unrounded mid central diphthong
ṓè̱	ṓè̱	oːɛ	1	diphthong	from long rounded close-mid back to unrounded open-mid front diphthong
ĭ̩̀	ĭ̩̀	ɪ	1	vowel	unrounded near-close near-front vowel
ắo	ắo	ɑo	1	diphthong	from unrounded open back to rounded close-mid back diphthong
œ̩̀u̱	œ̩̀u̱	œy	1	diphthong	from rounded open-mid front to rounded close front diphthong
é͜i̱	é͜i̱	ei	1	diphthong	from unrounded close-mid front to unrounded close front diphthong
ŏ̀ë	ŏ̀ë	ɔɛ	1	diphthong	from rounded open-mid back to unrounded open-mid front diphthong
ŏĕ̀	ŏĕ̀	oɛ	1	diphthong	from rounded close-mid back to unrounded open-mid front diphthong
i̩ṑ	i̩ṑ	ɪɔː	1	diphthong	from unrounded near-close near-front to long rounded open-mid back diphthong
ia͜ó̱	i a͜ó̱	i ao	1	unknownsound	
yò͜ó̱	y ò͜ó̱	j ɔo	1	unknownsound	
ʋ̆ò	ʋ̆ò	uɔ	1	diphthong	from rounded close back to rounded open-mid back diphthong
œu	œu	øy	3	diphthong	from rounded close-mid front to rounded close front diphthong
ȯ̱ʋ̄̀	ȯ̱ʋ̄̀	ɔʊː	1	diphthong	from rounded open-mid back to long rounded near-close near-back diphthong
œ̱̀ṑ	œ̱̀ṑ	œɔː	1	diphthong	from rounded open-mid front to long rounded open-mid back diphthong
ĕ́ë̱	ĕ́ë̱	eɛ	1	diphthong	from unrounded close-mid front to unrounded open-mid front diphthong
^dj͛yŏ̀	dj͛ y ŏ̀	dʒ j ɔ	1	unknownsound	
i̩ò	i̩ò	ɪɔ	1	diphthong	from unrounded near-close near-front to rounded open-mid back diphthong
ăʋ̱̀	ăʋ̱̀	aʊ	2	diphthong	from unrounded open front to rounded near-close near-back diphthong
ʋ̆ė̱	ʋ̆ė̱	uə	1	diphthong	from rounded close back to unrounded mid central diphthong
ŏʋ̱	ŏʋ̱	ou	4	diphthong	from rounded close-mid back to rounded close back diphthong
a̩ṓ	a̩ṓ	aoː	1	diphthong	from unrounded open front to long rounded close-mid back diphthong
ʋè̩	ꭒè̩	uɛ	1	diphthong	from rounded close back to unrounded open-mid front diphthong
aͤ͜ó̩	aͤ͜ó̩	æo	1	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ò̱œ̩̄	ò̱œ̩̄	ɔøː	1	diphthong	from rounded open-mid back to long rounded close-mid front diphthong
aͤì̱	aͤì̱	æɪ	1	diphthong	from unrounded near-open front to unrounded near-close near-front diphthong
ʋ̀̃ė̱	ʋ̀̃ė̱	ʊ̃ə	1	diphthong	from nasalized rounded near-close near-back to unrounded mid central diphthong
œͧu̱	œͧu̱	øy	1	diphthong	from rounded close-mid front to rounded close front diphthong
ūœ̱́	ūœ̱́	ỹːø	1	diphthong	from long nasalized rounded close front to rounded close-mid front diphthong
è̱ā̩̃	è̱ā̩̃	ɛãː	1	diphthong	from unrounded open-mid front to long nasalized unrounded open front diphthong
à̩̃	à̩̃	ã	2	vowel	nasalized unrounded open front vowel
ë̆	ë̆	ɛ	1	vowel	unrounded open-mid front vowel
œ̱̀͜ṓ̩	œ̱̀͜ṓ̩	œoː	1	diphthong	from rounded open-mid front to long rounded close-mid back diphthong
ã̱͜è̃	ã̱͜è̃	aɛ̃	2	diphthong	from unrounded open front to nasalized unrounded open-mid front diphthong
u͜ā̩	u͜ā̩	yaː	1	diphthong	from rounded close front to long unrounded open front diphthong
ʋ̆ó	ʋ̆ó	uo	1	diphthong	from rounded close back to rounded close-mid back diphthong
ʋ̆ā	ʋ̆ā	uaː	3	diphthong	from rounded close back to long unrounded open front diphthong
ò͜ā	ò͜ā	ɔaː	1	diphthong	from rounded open-mid back to long unrounded open front diphthong
ŏ̀ŏ́	ŏ̀ŏ́	ɔo	1	diphthong	from rounded open-mid back to rounded close-mid back diphthong
u͜āyė̱	u͜ā y ė̱	yaː j ə	1	unknownsound	
ò͜āè	ò͜ā è	ɔaː ɛ	1	unknownsound	
ò͜āè̱	ò͜ā è̱	ɔaː ɛ	1	unknownsound	
īé̱	īé̱	iːe	1	diphthong	from long unrounded close front to unrounded close-mid front diphthong
ʋ̱̄	ʋ̱̄	uː	9	vowel	long rounded close back vowel
ė̱oͮ̄	ė̱oͮ̄	əoː	1	diphthong	from unrounded mid central to long rounded close-mid back diphthong
oͮ̆ʋ̱̄	oͮ̆ʋ̱̄	ouː	1	diphthong	from rounded close-mid back to long rounded close back diphthong
ŏ́ʋ̱̄	ŏ́ʋ̱̄	ouː	2	diphthong	from rounded close-mid back to long rounded close back diphthong
ʋ̱̀	ʋ̱̀	ʊ	4	vowel	rounded near-close near-back vowel
òʋ̱̄	òʋ̱̄	ɔuː	1	diphthong	from rounded open-mid back to long rounded close back diphthong
īè	īè	iːɛ	1	diphthong	from long unrounded close front to unrounded open-mid front diphthong
œ̩̄	œ̩̄	øː	1	vowel	long rounded close-mid front vowel
ò͋	ò͋	ɔ	1	vowel	rounded open-mid back vowel
ėʋ̃	ėʋ̃	əũ	1	diphthong	from unrounded mid central to nasalized rounded close back diphthong
ėo̱	ėo̱	əo	1	diphthong	from unrounded mid central to rounded close-mid back diphthong
ă̱ó̃	ă̱ó̃	aõ	1	diphthong	from unrounded open front to nasalized rounded close-mid back diphthong
ʋ̩̀̃	ʋ̩̀̃	ʊ̃	1	vowel	nasalized rounded near-close near-back vowel
œ̄́ė̱	œ̄́ė̱	øːə	1	diphthong	from long rounded close-mid front to unrounded mid central diphthong
uͨ̆u̱	uͨ̆u̱	yː	1	vowel	long rounded close front vowel
aͤ̆͜ó	aͤ̆͜ó	æo	1	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ṑu̱	ṑu̱	ɔːy	1	diphthong	from long rounded open-mid back to rounded close front diphthong
ḗ̩i̱	ḗ̩i̱	eːi	1	diphthong	from long unrounded close-mid front to unrounded close front diphthong
u̱	u̱	y	1	vowel	rounded close front vowel
ō̱	ō̱	oː	1	vowel	long rounded close-mid back vowel
ó̩̃	ó̩̃	o	1	vowel	rounded close-mid back vowel
ḕȧ̱	ḕȧ̱	ɛːɐ	1	diphthong	from long unrounded open-mid front to unrounded near-open central diphthong
ă̩é̱	ă̩é̱	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
īȯ̱	īȯ̱	iːɔ	1	diphthong	from long unrounded close front to rounded open-mid back diphthong
òŏ́	òŏ́	ɔo	1	diphthong	from rounded open-mid back to rounded close-mid back diphthong
é̃ĩ	é̃ĩ	ẽɪ̃	3	diphthong	from nasalized unrounded close-mid front to nasalized unrounded near-close near-front diphthong
é̩̃ĩ̱	é̩̃ĩ̱	ẽi	1	diphthong	from nasalized unrounded close-mid front to unrounded close front diphthong
è̩̃ĩ	è̩̃ĩ	ɛ̃ɪ̃	1	diphthong	from nasalized unrounded open-mid front to nasalized unrounded near-close near-front diphthong
aͦó	aͦó	ɒo	1	diphthong	from rounded open back to rounded close-mid back diphthong
œ̆́͜u̱	œ̆́͜u̱	øy	1	diphthong	from rounded close-mid front to rounded close front diphthong
œͦ̄ʋ̱ͧ	œͦ̄ʋ̱ͧ	ɞːʉ	1	diphthong	from long rounded open-mid central to rounded close central diphthong
œ́œ̱̃	œ́œ̱̃	øː	1	vowel	long rounded close-mid front vowel
ĩė̱	ĩė̱	ɪ̃ə	1	diphthong	from nasalized unrounded near-close near-front to unrounded mid central diphthong
c̱̑	c̱̑	x	1	consonant	voiceless velar fricative consonant
ė̱̩	ė̱̩	ə	3	vowel	unrounded mid central vowel
è̱ā̃	è̱ā̃	ɛãː	3	diphthong	from unrounded open-mid front to long nasalized unrounded open front diphthong
ò̱ṓ	ò̱ṓ	ɔoː	1	diphthong	from rounded open-mid back to long rounded close-mid back diphthong
ò͜aͦ̄	ò͜aͦ̄	ɔɒː	1	diphthong	from rounded open-mid back to long rounded open back diphthong
ŏ̩́ă̩	ŏ̩́ă̩	oa	1	diphthong	from rounded close-mid back to unrounded open front diphthong
ṓė	ṓė	oːə	1	diphthong	from long rounded close-mid back to unrounded mid central diphthong
ŏ́ė̱	ŏ́ė̱	oə	1	diphthong	from rounded close-mid back to unrounded mid central diphthong
ā̀ò̱	ā̀ò̱	aːɔ	1	diphthong	from long unrounded open front to rounded open-mid back diphthong
a̩ͤi	a̩ͤi	æi	1	diphthong	from unrounded near-open front to unrounded close front diphthong
ĕi	ĕi	ei	4	diphthong	from unrounded close-mid front to unrounded close front diphthong
ă̩ḕ̱	ă̩ḕ̱	aɛː	1	diphthong	from unrounded open front to long unrounded open-mid front diphthong
òi	òi	ɔi	1	diphthong	from rounded open-mid back to unrounded close front diphthong
ė̱ė̃	ė̱ė̃	ə̃ː	1	vowel	long nasalized unrounded mid central vowel
ĕ̩i̱	ĕ̩i̱	ei	2	diphthong	from unrounded close-mid front to unrounded close front diphthong
īė̱̃	īė̱̃	iːə	1	diphthong	from long unrounded close front to unrounded mid central diphthong
ã͜è̃	ã͜è̃	ãɛ̃	1	diphthong	from nasalized unrounded open front to nasalized unrounded open-mid front diphthong
è̱aͤ̃	è̱aͤ̃	ɛæ̃	1	diphthong	from unrounded open-mid front to nasalized unrounded near-open front diphthong
è̱̃ã	è̱̃ã	ɛã	1	diphthong	from unrounded open-mid front to nasalized unrounded open front diphthong
t̄s	t̄s	tsː	1	consonant	long voiceless alveolar sibilant affricate consonant
yà̱	y à̱	j a	1	unknownsound	
é͜i	é͜i	ei	2	diphthong	from unrounded close-mid front to unrounded close front diphthong
à̩	à̩	a	1	vowel	unrounded open front vowel
gͩ	gͩ	g	3	consonant	voiced velar stop consonant
a̱ò	a̱ò	aɔ	3	diphthong	from unrounded open front to rounded open-mid back diphthong
a̱ó͜ʋ̱	a̱ ó͜ʋ̱	a ou	1	unknownsound	
a̩͜ó̱	a̩͜ó̱	ao	1	diphthong	from unrounded open front to rounded close-mid back diphthong
ò̱̩œ̩̄	ò̱̩œ̩̄	ɔøː	1	diphthong	from rounded open-mid back to long rounded close-mid front diphthong
ò̱ṑ	ò̱ṑ	ɔː	1	vowel	long rounded open-mid back vowel
ŏ̩̀œ̆̀	ŏ̩̀œ̆̀	ɔœ	1	diphthong	from rounded open-mid back to rounded open-mid front diphthong
œʋ̱ͧ	œʋ̱ͧ	øʉ	1	diphthong	from rounded close-mid front to rounded close central diphthong
z̄	z̄	zː	1	consonant	long voiced alveolar sibilant fricative consonant
ū̩ė	ū̩ė	ʏə	1	diphthong	from rounded near-close near-front to unrounded mid central diphthong
è̱è̃	è̱è̃	ɛ̃ː	1	vowel	long nasalized unrounded open-mid front vowel
a̱é	a̱é	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
a̩ʋ̆	a̩ʋ̆	au	1	diphthong	from unrounded open front to rounded close back diphthong
oͮ̄ó̱	oͮ̄ó̱	oːo	1	diphthong	from long rounded close-mid back to rounded close-mid back diphthong
uͨ̄ă	uͨ̄ă	yːa	1	diphthong	from long rounded close front to unrounded open front diphthong
œ̄ė̱	œ̄ė̱	øːə	1	diphthong	from long rounded close-mid front to unrounded mid central diphthong
ăḗ̩	ăḗ̩	aeː	1	diphthong	from unrounded open front to long unrounded close-mid front diphthong
ʋ̄é̱	ʋ̄é̱	uːe	1	diphthong	from long rounded close back to unrounded close-mid front diphthong
ȯ̱̩ʋ̄̀	ȯ̱̩ʋ̄̀	ɔʊː	1	diphthong	from rounded open-mid back to long rounded near-close near-back diphthong
ʋ̀ė̱	ʋ̀ė̱	ʊə	2	diphthong	from rounded near-close near-back to unrounded mid central diphthong
à̱è̃	à̱è̃	aɛ̃	1	diphthong	from unrounded open front to nasalized unrounded open-mid front diphthong
e̩i̱	e̩i̱	ei	1	diphthong	from unrounded close-mid front to unrounded close front diphthong
é̩i̱	é̩i̱	ei	2	diphthong	from unrounded close-mid front to unrounded close front diphthong
e̩ͥ̄	e̩ͥ̄	e	1	vowel	unrounded close-mid front vowel
éa̱	éa̱	ea	1	diphthong	from unrounded close-mid front to unrounded open front diphthong
aͤè̱	aͤè̱	æɛ	1	diphthong	from unrounded near-open front to unrounded open-mid front diphthong
i͜ė̱	i͜ė̱	iə	1	diphthong	from unrounded close front to unrounded mid central diphthong
ė̱͜é	ė̱͜é	əe	1	diphthong	from unrounded mid central to unrounded close-mid front diphthong
ŏ̀ò̃	ŏ̀ò̃	ɔ̃ː	1	vowel	long nasalized rounded open-mid back vowel
ūằ	ūằ	ỹːa	1	diphthong	from long nasalized rounded close front to unrounded open front diphthong
u̩a̩	u̩a̩	ya	1	diphthong	from rounded close front to unrounded open front diphthong
ŭ̩͜ĕ̀	ŭ̩͜ĕ̀	yɛ	1	diphthong	from rounded close front to unrounded open-mid front diphthong
ṑò̱	ṑò̱	ɔːɔ	1	diphthong	from long rounded open-mid back to rounded open-mid back diphthong
ṓă	ṓă	oːa	1	diphthong	from long rounded close-mid back to unrounded open front diphthong
ṓʋ	ṓꭒ	oːu	1	diphthong	from long rounded close-mid back to rounded close back diphthong
ŭ̩è̩	ŭ̩è̩	yɛ	1	diphthong	from rounded close front to unrounded open-mid front diphthong
óė̱	óė̱	oə	3	diphthong	from rounded close-mid back to unrounded mid central diphthong
œ̀i̱	œ̀i̱	œi	1	diphthong	from rounded open-mid front to unrounded close front diphthong
eͥ̆i̱	eͥ̆i̱	ei	1	diphthong	from unrounded close-mid front to unrounded close front diphthong
ʋ̩̄ȯ̱	ʋ̩̄ȯ̱	uːɔ	1	diphthong	from long rounded close back to rounded open-mid back diphthong
aͤ͜œ̄̀	aͤ͜œ̄̀	æœː	1	diphthong	from unrounded near-open front to long rounded open-mid front diphthong
ă̩oͮ̆	ă̩oͮ̆	ao	1	diphthong	from unrounded open front to rounded close-mid back diphthong
ā̩́ĕ̀	ā̩́ĕ̀	ɑːɛ	1	diphthong	from long unrounded open back to unrounded open-mid front diphthong
o̱͜	o̱͜	o	1	vowel	rounded close-mid back vowel
iĕ́	iĕ́	ie	1	diphthong	from unrounded close front to unrounded close-mid front diphthong
i͜é	i͜é	ie	1	diphthong	from unrounded close front to unrounded close-mid front diphthong
ié	ié	ie	1	diphthong	from unrounded close front to unrounded close-mid front diphthong
ó̩ă	ó̩ă	oa	1	diphthong	from rounded close-mid back to unrounded open front diphthong
ȳ	ȳ	jː	1	consonant	long voiced palatal approximant consonant
oͮʋ	oͮꭒ	ou	1	diphthong	from rounded close-mid back to rounded close back diphthong
óè̱	óè̱	oɛ	1	diphthong	from rounded close-mid back to unrounded open-mid front diphthong
o̱͜ā	o̱͜ā	oaː	1	diphthong	from rounded close-mid back to long unrounded open front diphthong
āo̱͜è̱	ā o̱͜è̱	aː oɛ	1	unknownsound	
ae	ae	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
a̩ͦ̃ʋ̱̃	a̩ͦ̃ʋ̱̃	ɑu	1	diphthong	from unrounded open back to rounded close back diphthong
è̱ȧ	è̱ȧ	ɛɐ	1	diphthong	from unrounded open-mid front to unrounded near-open central diphthong
ằè̱	ằè̱	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
ua	ua	ya	1	diphthong	from rounded close front to unrounded open front diphthong
œ̱̀ṓ	œ̱̀ṓ	œoː	1	diphthong	from rounded open-mid front to long rounded close-mid back diphthong
a̱ẽ	a̱ẽ	aẽ	1	diphthong	from unrounded open front to nasalized unrounded close-mid front diphthong
aͦ̃͜ë̃	aͦ̃͜ë̃	ɑɛ	1	diphthong	from unrounded open back to unrounded open-mid front diphthong
ṑi	ṑi	ɔːi	1	diphthong	from long rounded open-mid back to unrounded close front diphthong
ė̱ằ	ė̱ằ	əa	1	diphthong	from unrounded mid central to unrounded open front diphthong
^dj͛i	dj͛ i	dʒ i	1	unknownsound	
^dy̓	dy̓	dʒʲ	1	consonant	palatalized voiced post-alveolar sibilant affricate consonant
^djĭ	dj ĭ	dʒ ɪ	1	unknownsound	
^dj͛	dj͛	dʒ	1	consonant	voiced post-alveolar sibilant affricate consonant
a̱õ	a̱õ	aõ	1	diphthong	from unrounded open front to nasalized rounded close-mid back diphthong
a̱ó̃	a̱ó̃	aõ	1	diphthong	from unrounded open front to nasalized rounded close-mid back diphthong
